cta_protocol_id,cta_protocol_no,submission_no,status_code,status_en,status_fr,start_date,end_date,nol_date,protocol_title_en,protocol_title_fr,conditions,manufacturer,brand_name_en,brand_name_fr,adult_male,adult_female,pediatric,last_update
56017,COVID-CTP-01,237786,1,ONGOING,En cours,20200504,,20200418,"MULTI-CENTER, RANDOMIZED, CONTROLLED, PHASE II CLINICAL EFFICACY STUDY EVALUATING NORS TREATMENT FOR THE PREVENTION AND TREATMENT OF COVID-19 IN HEALTHCARE WORKERS & INDIVIDUALS AT RISK OF INFECTION","UNE ETUDE CLINIQUE DE PHASE II MULTICENTRIQUE, RANDOMISÉE, CONTRÔLÉE SUR L¿EFFICACITÉ DE L¿ÉVALUATION DU TRAITEMENT NORS POUR LA PRÉVENTION ET LE TRAITEMENT DE COVID-19 DANS LES TRAVAILLEURS DE LA SANTÉ ET LES PERSONNES À RISQUE D'INFECTION","{""CORONAVIRUS DISEASE (COVID-19)""}",SANOTIZE RESEARCH & DEVELOPMENT CORP,NITRIC OXIDE,,true,true,,20200525 16:11:06 GMT
46355,NTM-CTP-01,207204,3,PENDING,En suspens,,,20170726,AN OPEN LABEL SAFETY STUDY OF INHALED GASEOUS NITRIC OXIDE (GNO) FOR ADULTS WITH NON-TUBERCULOSIS MYCOBACTERIA INFECTION,UNE ÉTUDE OUVERTE SUR L¿INNOCUITÉ DE L¿INHALATION D¿OXYDE NITRIQUE (NO) GAZEUX CHEZ LES ADULTES AVEC DES INFECTIONS PAR MYCOBACTERIA NON LIÉES À LA TUBERCULOSE.,"{""LOWER RESPIRATORY TRACT INFECTION"",""CORONAVIRUS DISEASE (COVID-19)"",""UPPER RESPIRATORY TRACT INFECTION""}",DR JEREMY ROAD,NITRIC OXIDE,NITRIC OXIDE,true,true,,20200525 16:11:06 GMT
55918,CORIPREV-1,237350,1,ONGOING,En cours,20200415,,20200321,COVID-19 RING-BASED PREVENTION TRIAL WITH LOPINAVIR/RITONAVIR,COVID-19 UN ESSAI CIRCULAIRE DE PRÉVENTION AVEC LOPINAVIR/RITONAVIR,"{""CORONAVIRUS DISEASE (COVID-19)""}",UNITY HEALTH TORONTO,LOPINAVIR-RITONAVIR,,true,true,true,20200525 16:11:06 GMT
56012,ABCOV-01,237739,1,ONGOING,En cours,20200511,,20200409,"A RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED TRIAL TO ASSESS THE EFFICACY AND SAFETY OF ORAL HYDROXYCHLOROQUINE FOR THE TREATMENT OF SARS-COV-2 POSITIVE PATIENTS FOR THE PREVENTION OF SEVERE COVID-19 DISEASE (SHORT TITLE: ALBERTA HOPE COVID-19)","UN ESSAI RANDOMISÉ, À DOUBLE INSU, CONTRÔLÉ CONTRE PLACEBO POUR ÉVALUER L¿EFFICACITÉ ET L¿INNOCUITÉ DE HYDROXYCHLOROQUINE ORALE POUR LE TRAITEMENT DES PATIENTS SARS-COV-2 POSITIFS POUR LA PRÉVENTION DE LA MALADIE GRAVE DE COVID-19 (TITRE ABRÉGÉ: ALBERTA HOPE COVID-19)","{""CORONAVIRUS DISEASE (COVID-19)""}",UNIVERSITY OF CALGARY,HYDROXYCHLOROQUINE,,true,true,,20200525 16:11:06 GMT
56410,VASCEPA-COVID-19 CARDIOLINK-9,239025,3,PENDING,En suspens,,,20200508,AN INVESTIGATION ON THE EFFECTS OF ICOSAPENT ETHYL (VASCEPA) ON INFLAMMATORY BIOMARKERS IN INDIVIDUALS WITH COVID-19 CARDIOLINK-9,UNE ENQUÊTE SUR LES EFFETS DE LA ETHYL ICOSAPENT (VASCEPA) SUR LES BIOMARQUEURS INFLAMMATOIRES DANS LES PERSONNES AVEC COVID-19 CARDIOLINK-9,"{""CORONAVIRUS DISEASE (COVID-19)""}",CANADIAN MEDICAL AND SURGICAL KNOWLEDGE TRANSLATION RESEARCH GROUP,ICOSAPENT,,true,true,,20200525 16:11:06 GMT
56279,CIRCA-19,238608,3,PENDING,En suspens,,,20200515,CELLULAR IMMUNO-THERAPY FOR COVID-19 ARDS,L'IMMUNOTHÉRAPIE CELLULAIRE POUR TRAITER LE SYNDROME DE DÉTRESSE RESPIRATOIRE AIGUË (SDRA) ASSOCIÉ À LA COVID-19,"{""CORONAVIRUS DISEASE (COVID-19)""}",OTTAWA HOSPITAL RESEARCH INSTITUTE,ALLOGENIC BONE MARROW MESENCHYMAL STROMAL CELLS (BM-MSCS) / ALLOGENIC UMBILICAL CORD MESENCHYMAL STROMAL CELLS (UC-MSC),CELLULES MÉSENCHYMATEUSES STROMALES  DE LA MOELLE OSSEUSE ALLOGÉNIQUE / CELLULES MÉSENCHYMATEUSES STROMALES DU CORDON OMBILICAL ALLOGÉNIQUE,true,true,,20200525 16:11:06 GMT
56507,REB20-0713,239287,3,PENDING,En suspens,,,20200522,"A PROSPECTIVE, OBSERVATIONAL STUDY TO ASSESS THE EFFICACY AND SAFETY OF ADJUNCTIVE HUMANIZED MONOCLONAL INTERLEUKIN 6 RECEPTOR ANTIBODY TOCILIZUMAB (TCZ) THERAPY TO STANDARD OF CARE FOR THE REDUCTION OF HYPERINFLAMMATION RELATED MORTALITY IN SARS-COV2 POSITIVE PATIENTS","UNE ÉTUDE PROSPECTIVE ET OBSERVATIONNELLE VISANT À ÉVALUER L¿EFFICACITÉ ET L¿INNOCUITÉ DU TRAITEMENT AU TOCILIZUMAB (TCZ), UN ANTICORPS MONOCLONAL HUMAIN À RÉCEPTEURS ADJACENTS À L¿INTERLEUKINE 6, PAR RAPPORT À LA NORME DE SOINS POUR RÉDUIRE LA MORTALITÉ LIÉE À L¿HYPERINFLAMMATION CHEZ LES PATIENTS POSITIFS AU SARS COV2.","{""CORONAVIRUS DISEASE (COVID-19)""}",UNIVERSITY OF CALGARY,ACTEMRA (TOCILIZUMAB),ACTEMRA (TOCILIZUMAB),true,true,,20200525 16:11:06 GMT
56008,X17-0199,237719,3,PENDING,En suspens,,,20200401,"RANDOMIZED, EMBEDDED, MULTIFACTORIAL ADAPTIVE PLATFORM TRIAL FOR COMMUNITY-ACQUIRED PNEUMONIA (REMAP-CAP)","ESSAI D'UNE PLATEFORME ADAPTATIVE MULTIFACTORIELLE, INTÉGRÉE ET ALÉATOIRE POUR LA PNEUMONIE NON NOSOCOMIALE (PAMIA PNN)","{""COMMUNITY-ACQUIRED PNEUMONIA"",""CORONAVIRUS DISEASE (COVID-19)""}",UNITY HEALTH TORONTO,LOPINAVIR-RITONAVIR / INTERFERON BETA-1A / APO-HYDROXYQUINE / HEPARIN SODIUM / LOVENOX / FRAGMIN / INNOHEP / APHERESIS FROZEN PLASMA FROM RECOVERED COVID-19 PATIENTS (CONVALESCENT PLASMA) / KINERET,LOPINAVIR-RITONAVIR / INTERFERON BETA-1A / APO-HYDROXYQUINE / HEPARIN SODIUM / LOVENOX / FRAGMIN / INNOHEP / PLASMA APHÉRÈSE CONGELÉ PRÉLEVÉ CHEZ LES PATIENTS QUI S'ÉTAIENT RÉTABLIS DE LA COVID-19 (PLASMA EN PHASE DE CONVALESCENCE) / KINERET,true,true,,20200525 16:11:06 GMT
56277,AGN120-3,238605,3,PENDING,En suspens,,,20200429,A RANDOMIZED OPEN LABEL PHASE 2B/3 STUDY OF THE SAFETY AND EFFICACY OF NP-120 (IFENPRODIL) FOR THE TREATMENT OF CONFIRMED COVID-19 INFECTED HOSPITALIZED PATIENTS,UNE ÉTUDE OUVERTE DE PHASE 2B/3 À RÉPARTITION ALÉATOIRE VISANT À ÉVALUER L¿INNOCUITÉ ET DE L¿EFFICACITÉ DE NP-120 (IFENPRODIL) POUR LE TRAITEMENT DE PATIENTS HOSPITALISÉS CONFIRMÉS AVEC COVID-19,"{""CORONAVIRUS DISEASE (COVID-19)""}",ALGERNON PHARMACEUTICALS INCORPORATED,NP-120 (IFENPRODIL),,true,true,,20200525 16:11:06 GMT
56349,AB002,238815,3,PENDING,En suspens,,,20200507,"MULTICENTER, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PROOF OF CONCEPT TRIAL OF LSALT PEPTIDE AS PREVENTION OF ACUTE RESPIRATORY DISTRESS SYNDROME (ARDS) IN PATIENTS INFECTED WITH SARS-COV-2 (COVID-19)","UN ESSAI DE VALIDATION DE PRINCIPE, MULTICENTRIQUE, RANDOMISÉE, À DOUBLE INSU, CONTRÔLÉE PAR PLACEBO, DU PEPTIDE LSALT COMME LA PRÉVENTION DU SYNDROME DE DÉTRESSE RESPIRATOIRE AIGUË (SDRA) CHEZ LES PATIENTS INFECTÉS PAR SARS-COV-2 (COVID-19)","{""CORONAVIRUS DISEASE (COVID-19)""}",ARCH BIOPARTNERS INC.,LSALT PEPTIDE,,true,true,,20200525 16:11:06 GMT
